section,r_mid_m,dr_m,r_inner_m,r_outer_m,r_mid_over_R,dr_over_R
1,0.012284363636363638,0.004248727272727274,0.01016,0.014408727272727274,0.09672727272727275,0.033454545454545466
2,0.0164940719851577,0.004170689424860853,0.014408727272727274,0.018579416697588128,0.12987458256029685,0.03284007421150278
3,0.020625742486085345,0.004092651576994434,0.018579416697588128,0.02267206827458256,0.1624074211502783,0.03222560296846011
4,0.02467937513914657,0.004014613729128015,0.02267206827458256,0.026686682003710577,0.19432578849721707,0.03161113172541744
5,0.028654969944341375,0.003936575881261596,0.026686682003710577,0.030623257884972173,0.22562968460111318,0.03099666048237477
6,0.032552526901669765,0.003858538033395177,0.030623257884972173,0.03448179591836735,0.2563191094619667,0.030382189239332103
7,0.036372046011131726,0.003780500185528758,0.03448179591836735,0.03826229610389611,0.2863940630797774,0.029767717996289435
8,0.04011352727272728,0.003702462337662339,0.03826229610389611,0.04196475844155845,0.3158545454545455,0.029153246753246764
9,0.043776970686456404,0.00362442448979592,0.04196475844155845,0.04558918293135437,0.3447005565862709,0.028538775510204097
10,0.04736237625231912,0.003546386641929501,0.04558918293135437,0.04913556957328387,0.37293209647495373,0.027924304267161425
11,0.050869743970315406,0.0034683487940630822,0.04913556957328387,0.05260391836734695,0.40054916512059374,0.027309833024118758
12,0.054299073840445286,0.0033903109461966632,0.05260391836734695,0.055994229313543614,0.4275517625231912,0.026695361781076087
13,0.05765036586270873,0.0033122730983302442,0.055994229313543614,0.05930650241187386,0.45393988868274593,0.02608089053803342
14,0.060923620037105775,0.0032342352504638253,0.05930650241187386,0.06254073766233768,0.47971354359925805,0.02546641929499075
15,0.06411883636363638,0.0031561974025973993,0.06254073766233768,0.06569693506493508,0.5048727272727275,0.024851948051948024
16,0.06723601484230057,0.0030781595547309804,0.06569693506493508,0.06877509461966606,0.5294174397031541,0.024237476808905357
17,0.07027515547309834,0.0030001217068645614,0.06877509461966606,0.07177521632653062,0.5533476808905381,0.02362300556586269
18,0.0732362582560297,0.0029220838589981424,0.07177521632653062,0.07469730018552877,0.5766634508348795,0.023008534322820018
19,0.07611932319109463,0.0028440460111317234,0.07469730018552877,0.07754134619666049,0.5993647495361781,0.02239406307977735
20,0.07892435027829314,0.0027660081632653044,0.07754134619666049,0.0803073543599258,0.6214515769944342,0.02177959183673468
21,0.08165133951762524,0.0026879703153988854,0.0803073543599258,0.08299532467532468,0.6429239332096476,0.02116512059369201
22,0.08430029090909091,0.0026099324675324664,0.08299532467532468,0.08560525714285715,0.6637818181818183,0.02055064935064934
23,0.08687120445269017,0.0025318946196660475,0.08560525714285715,0.0881371517625232,0.6840252319109462,0.019936178107606672
24,0.08936408014842301,0.0024538567717996285,0.0881371517625232,0.09059100853432282,0.7036541743970316,0.019321706864564005
25,0.09177891799628943,0.0023758189239332095,0.09059100853432282,0.09296682745825603,0.7226686456400743,0.018707235621521334
26,0.09411571799628943,0.0022977810760667905,0.09296682745825603,0.09526460853432282,0.7410686456400742,0.018092764378478666
27,0.09637448014842301,0.0022197432282003715,0.09526460853432282,0.0974843517625232,0.7588541743970315,0.017478293135435995
28,0.09855520445269017,0.0021417053803339525,0.0974843517625232,0.09962605714285715,0.7760252319109462,0.016863821892393327
29,0.10065789090909091,0.0020636675324675335,0.09962605714285715,0.10168972467532468,0.7925818181818182,0.01624935064935066
30,0.10268253951762524,0.0019856296846011146,0.10168972467532468,0.1036753543599258,0.8085239332096475,0.015634879406307988
31,0.10462915027829314,0.0019075918367346956,0.1036753543599258,0.10558294619666049,0.8238515769944342,0.015020408163265319
32,0.10649772319109463,0.0018295539888682766,0.10558294619666049,0.10741250018552877,0.8385647495361782,0.01440593692022265
33,0.1082882582560297,0.0017515161410018576,0.10741250018552877,0.10916401632653062,0.8526634508348795,0.013791465677179982
34,0.11000075547309834,0.0016734782931354386,0.10916401632653062,0.11083749461966606,0.8661476808905382,0.013176994434137312
35,0.11163521484230057,0.0015954404452690196,0.11083749461966606,0.11243293506493508,0.8790174397031542,0.012562523191094643
36,0.11319163636363638,0.0015174025974026006,0.11243293506493508,0.11395033766233768,0.8912727272727274,0.011948051948051973
37,0.11467002003710577,0.0014393647495361817,0.11395033766233768,0.11538970241187387,0.902913543599258,0.011333580705009304
38,0.11607036586270875,0.0013613269016697627,0.11538970241187387,0.11675102931354363,0.913939888682746,0.010719109461966634
39,0.1173926738404453,0.0012832890538033437,0.11675102931354363,0.11803431836734697,0.9243517625231913,0.010104638218923967
40,0.11863694397031543,0.0012052512059369247,0.11803431836734697,0.1192395695732839,0.934149165120594,0.009490166975881297
41,0.11980317625231915,0.0011272133580705057,0.1192395695732839,0.1203667829313544,0.9433320964749539,0.008875695732838628
42,0.12089137068645645,0.0010491755102040867,0.1203667829313544,0.12141595844155849,0.9519005565862713,0.008261224489795958
43,0.12190152727272732,0.0009711376623376677,0.12141595844155849,0.12238709610389616,0.9598545454545458,0.007646753246753289
44,0.12283364601113178,0.0008930998144712488,0.12238709610389616,0.1232801959183674,0.9671940630797777,0.00703228200371062
45,0.12368772690166982,0.0008150619666048298,0.1232801959183674,0.12409525788497223,0.973919109461967,0.006417810760667951
46,0.12446376994434144,0.0007370241187384108,0.12409525788497223,0.12483228200371065,0.9800296846011137,0.005803339517625281
47,0.12516177513914664,0.0006589862708719779,0.12483228200371065,0.12549126827458262,0.9855257884972176,0.0051888682745825036
48,0.12578174248608542,0.0005809484230055728,0.12549126827458262,0.1260722166975882,0.9904074211502789,0.004574397031539943
49,0.12632367198515776,0.0005029105751391538,0.1260722166975882,0.12657512727272735,0.9946745825602973,0.003959925788497274
50,0.12678756363636373,0.00042487272727273484,0.12657512727272735,0.12700000000000009,0.9983272727272735,0.003345454545454605
