Frequency_Hz,SPL_dB,BPF_Ratio
0.0,-86.740524,0.0
11.666667,-68.27491,0.05
23.333334,-68.97974,0.1
35.0,-71.54161,0.15
46.666668,-79.517845,0.2
58.333336,-68.54343,0.25000003
70.0,-70.499664,0.3
81.66667,-64.73834,0.35000002
93.333336,-73.26091,0.4
105.0,-55.927273,0.45000002
116.66667,-56.78566,0.50000006
128.33334,-57.94413,0.5500001
140.0,-64.07378,0.6
151.66667,-70.2142,0.65000004
163.33334,-73.598724,0.70000005
175.0,-76.01815,0.75
186.66667,-68.592766,0.8
198.33334,-76.33263,0.8500001
210.0,-60.766434,0.90000004
221.66667,-65.71392,0.95000005
233.33334,65.55685,1.0000001
245.0,-66.3693,1.0500001
256.6667,-62.73788,1.1000001
268.33334,-68.409195,1.1500001
280.0,-69.881966,1.2
291.6667,-92.4489,1.2500001
303.33334,-73.940475,1.3000001
315.0,-76.91666,1.35
326.6667,-81.550125,1.4000001
338.33334,-69.208305,1.45
350.0,-66.54064,1.5
361.6667,-64.24538,1.5500001
373.33334,-79.990036,1.6
385.0,-68.84324,1.6500001
396.6667,-84.90274,1.7000002
408.33334,-73.34802,1.7500001
420.0,-75.19471,1.8000001
431.6667,-72.28832,1.8500001
443.33334,-86.82501,1.9000001
455.0,-75.26429,1.95
466.6667,45.185127,2.0000002
478.33334,-72.80251,2.0500002
490.0,-71.970375,2.1000001
501.6667,-85.525665,2.15
513.3334,-75.22147,2.2000003
525.0,-78.514015,2.25
536.6667,-74.53792,2.3000002
548.3334,-75.40961,2.3500001
560.0,-74.64717,2.4
571.6667,-69.784836,2.45
583.3334,-70.38785,2.5000002
595.0,-68.04845,2.55
606.6667,-76.37785,2.6000001
618.3334,-73.07877,2.6500003
630.0,-79.01471,2.7
641.6667,-75.30975,2.7500002
653.3334,-75.82204,2.8000002
665.0,-78.08991,2.8500001
676.6667,-77.47024,2.9
688.3334,-76.24074,2.9500003
700.0,25.344753,3.0
711.6667,-72.54091,3.0500002
723.3334,-71.7613,3.1000001
735.0,-87.126495,3.15
746.6667,-73.285065,3.2
758.3334,-76.40506,3.2500002
770.0,-74.2235,3.3000002
781.6667,-79.46137,3.3500001
793.3334,-72.555176,3.4000003
805.0,-74.30428,3.45
816.6667,-80.34709,3.5000002
828.3334,-78.53395,3.5500002
840.0,-74.910904,3.6000001
851.6667,-79.071075,3.65
863.3334,-80.89345,3.7000003
875.0,-78.0231,3.75
886.6667,-84.20784,3.8000002
898.3334,-76.202225,3.8500001
910.0,-80.951355,3.9
921.6667,-76.32263,3.9500003
933.3334,6.248824,4.0000005
945.0,-91.557014,4.05
956.6667,-84.16973,4.1000004
968.3334,-86.48841,4.15
980.0,-90.63284,4.2000003
991.6667,-78.73458,4.25
1003.3334,-81.88064,4.3
1015.0,-81.30665,4.35
1026.6667,-75.4731,4.4000006
1038.3334,-70.56126,4.4500003
1050.0,-72.29593,4.5
1061.6667,-70.17714,4.5500007
1073.3334,-75.45376,4.6000004
1085.0,-75.3324,4.65
1096.6667,-89.07477,4.7000003
1108.3334,-91.519226,4.7500005
1120.0,-77.27741,4.8
1131.6667,-86.66234,4.8500004
1143.3334,-84.08594,4.9
1155.0,-88.21283,4.9500003
1166.6667,-12.312932,5.0000005
1178.3334,-81.44594,5.05
1190.0,-75.30374,5.1
1201.6667,-99.33303,5.1500006
1213.3334,-87.68631,5.2000003
1225.0,-91.29441,5.25
1236.6667,-79.49561,5.3000007
1248.3334,-87.10512,5.3500004
1260.0,-86.26857,5.4
1271.6667,-96.08474,5.4500003
1283.3334,-90.987816,5.5000005
1295.0,-86.90486,5.55
1306.6667,-93.28403,5.6000004
1318.3334,-95.15144,5.65
1330.0,-84.756584,5.7000003
1341.6667,-80.83038,5.7500005
1353.3334,-77.11315,5.8
1365.0,-82.53165,5.85
1376.6667,-82.83473,5.9000006
1388.3334,-72.132774,5.9500003
1400.0,-30.561895,6.0
1411.6667,-84.426605,6.0500007
1423.3334,-71.7585,6.1000004
1435.0,-104.80407,6.15
1446.6667,-88.06415,6.2000003
1458.3334,-98.33423,6.2500005
1470.0,-89.492455,6.3
1481.6667,-83.82594,6.3500004
1493.3334,-93.51007,6.4
1505.0,-91.75567,6.4500003
1516.6667,-87.7823,6.5000005
1528.3334,-95.71532,6.55
1540.0,-82.63607,6.6000004
1551.6667,-96.27139,6.6500006
1563.3334,-77.57117,6.7000003
1575.0,-79.680664,6.75
1586.6667,-82.305374,6.8000007
1598.3334,-73.81067,6.8500004
1610.0,-73.230415,6.9
1621.6667,-67.92045,6.9500003
1633.3334,-51.8741,7.0000005
1645.0,-64.99539,7.05
1656.6667,-83.6754,7.1000004
1668.3334,-80.20668,7.15
1680.0,-79.795975,7.2000003
