Frequency_Hz,SPL_dB,BPF_Ratio
0.0,-92.199745,0.0
12.962963,4.7261615,0.055555556
25.925926,5.099907,0.11111111
38.88889,-5.141704,0.16666667
51.851852,-2.136735,0.22222222
64.81482,7.019524,0.2777778
77.77778,7.3754334,0.33333334
90.74074,7.9413404,0.3888889
103.703705,8.800503,0.44444445
116.66667,10.861586,0.50000006
129.62964,13.700353,0.5555556
142.59259,12.478378,0.6111111
155.55556,14.818348,0.6666667
168.51852,18.402403,0.72222227
181.48148,15.560304,0.7777778
194.44444,13.147274,0.8333334
207.40741,15.971321,0.8888889
220.37038,22.473124,0.9444445
233.33334,67.25953,1.0000001
246.2963,19.5086,1.0555556
259.25928,27.007196,1.1111112
272.22223,23.28969,1.1666667
285.18518,20.297005,1.2222222
298.14816,17.696957,1.2777779
311.1111,13.646563,1.3333334
324.07407,12.87521,1.3888888
337.03705,14.531918,1.4444445
350.0,18.092136,1.5
362.96295,14.317588,1.5555556
375.92593,12.932213,1.6111112
388.8889,12.836285,1.6666667
401.85187,13.080772,1.7222223
414.81482,5.087285,1.7777778
427.77777,17.790243,1.8333334
440.74075,22.899189,1.888889
453.7037,28.52928,1.9444445
466.6667,47.12341,2.0000002
479.62964,19.23099,2.0555556
492.5926,21.606466,2.1111112
505.55557,18.693302,2.1666667
518.51855,21.851147,2.2222223
531.4815,18.009321,2.277778
544.44446,16.600157,2.3333335
557.4074,18.525097,2.3888888
570.37036,14.085972,2.4444444
583.3333,14.3843,2.5
596.2963,17.008528,2.5555558
609.2593,17.784922,2.6111112
622.2222,18.549002,2.6666667
635.1852,16.039913,2.7222223
648.14813,16.415855,2.7777777
661.11115,16.906492,2.8333335
674.0741,6.605239,2.888889
687.03705,14.922704,2.9444447
700.0,26.714214,3.0
712.96295,10.912102,3.0555556
725.9259,6.905175,3.1111112
738.8889,0.27842018,3.1666667
751.85187,13.638599,3.2222223
764.8148,13.786974,3.277778
777.7778,3.9591506,3.3333335
790.7407,11.721269,3.3888888
803.70374,3.2605972,3.4444447
816.6667,5.6433277,3.5000002
829.62964,3.59403,3.5555556
842.5926,5.589715,3.6111112
855.55554,10.52621,3.6666667
868.51855,12.505113,3.7222226
881.4815,6.975671,3.777778
894.44446,9.563995,3.8333335
907.4074,12.951302,3.888889
920.37036,10.512556,3.9444444
933.3334,14.900448,4.0000005
946.2963,1.1190139,4.055556
959.2593,-1.9930117,4.111111
972.2222,6.5933414,4.166667
985.1852,1.6766198,4.2222223
998.14813,6.2147408,4.2777777
1011.11115,-8.056533,4.3333335
1024.0741,-12.700072,4.3888893
1037.0371,1.8706673,4.4444447
1050.0,-8.47634,4.5
1062.963,-4.3502364,4.555556
1075.9259,-3.0756142,4.611111
1088.8889,3.495069,4.666667
1101.8518,8.668602,4.7222223
1114.8148,12.837018,4.7777777
1127.7778,12.400558,4.8333335
1140.7407,9.062475,4.888889
1153.7037,2.2408028,4.9444447
1166.6666,-3.404789,5.0
1179.6296,-0.05671714,5.055556
1192.5927,4.4305434,5.1111116
1205.5555,7.2038608,5.1666665
1218.5186,5.9304028,5.2222223
1231.4814,3.2613263,5.2777777
1244.4445,4.247117,5.3333335
1257.4075,7.118579,5.3888893
1270.3704,9.2107,5.4444447
1283.3334,9.489277,5.5000005
1296.2963,7.172927,5.5555553
1309.2593,5.0847125,5.611111
1322.2223,6.0334044,5.666667
1335.1852,3.1063077,5.7222223
1348.1482,-11.854721,5.777778
1361.1111,1.6491032,5.8333335
1374.0741,3.2595541,5.8888893
1387.0371,8.137179,5.9444447
1400.0,8.477854,6.0
1412.963,6.104017,6.055556
1425.9259,-5.4762554,6.111111
1438.8889,-22.892944,6.166667
1451.8518,-7.5248723,6.2222223
1464.8148,0.6677574,6.277778
1477.7778,6.548093,6.3333335
1490.7407,2.5032547,6.388889
1503.7037,5.4864783,6.4444447
1516.6666,3.5748858,6.5
1529.6296,7.0911093,6.555556
1542.5927,5.8203216,6.6111116
1555.5555,3.7947917,6.666667
1568.5186,4.158385,6.7222223
1581.4814,2.4443521,6.7777777
1594.4445,-13.94025,6.8333335
1607.4075,-7.639468,6.8888893
1620.3704,5.3109045,6.9444447
1633.3334,12.135124,7.0000005
1646.2963,12.119549,7.0555553
1659.2593,10.286861,7.111111
1672.2223,9.343771,7.166667
1685.1852,9.188078,7.2222223
1698.1482,9.832591,7.277778
1711.1111,7.227666,7.3333335
1724.0741,7.6829185,7.3888893
1737.0371,-0.07670911,7.444445
1750.0,4.1405225,7.5
1762.963,-0.56770176,7.555556
1775.9259,-1.6546199,7.611111
1788.8889,-2.062521,7.666667
1801.8519,-4.68783,7.722223
1814.8148,-5.0357866,7.777778
1827.7778,1.6968924,7.833334
1840.7407,5.139344,7.888889
1853.7037,7.0192666,7.9444447
1866.6667,7.236227,8.000001
1879.6296,1.2902253,8.055555
1892.5927,-2.9249725,8.111112
1905.5555,-4.959709,8.166667
1918.5186,-3.9455457,8.222222
1931.4814,1.9796844,8.277778
1944.4445,5.125682,8.333334
1957.4075,6.476408,8.388889
1970.3704,1.5987082,8.444445
1983.3334,3.3154693,8.5
1996.2963,3.3260899,8.555555
2009.2593,1.6019573,8.611112
2022.2223,2.699981,8.666667
2035.1852,6.065626,8.722222
2048.1482,4.787612,8.777779
2061.111,2.9581614,8.833333
2074.0742,-2.5191257,8.888889
2087.037,4.645557,8.944445
2100.0,9.406468,9.0
2112.963,9.440434,9.055555
2125.926,6.8256464,9.111112
2138.889,4.6661396,9.166667
2151.8518,5.452747,9.222222
2164.815,5.3408246,9.277779
2177.7778,3.1154752,9.333334
2190.7407,2.1602943,9.388889
2203.7036,5.7539983,9.444445
2216.6667,7.148922,9.500001
2229.6296,6.6324177,9.555555
2242.5925,7.2845993,9.611111
2255.5557,7.105069,9.666667
2268.5186,3.8945074,9.722222
2281.4814,0.5187507,9.777778
2294.4446,2.950683,9.833334
2307.4075,6.566284,9.888889
2320.3704,7.926214,9.944445
2333.3333,5.1811285,10.0
2346.2964,-1.7091526,10.055556
2359.2593,2.3599782,10.111112
2372.2222,5.1856318,10.166667
2385.1853,5.2380557,10.222223
2398.1482,3.7813754,10.277779
2411.111,4.396707,10.333333
2424.0742,5.0160103,10.388889
2437.037,3.8935378,10.444445
2450.0,0.4782247,10.5
2462.963,-4.7213316,10.555555
2475.926,-9.5439,10.611112
2488.889,-16.854446,10.666667
2501.8518,-3.5999207,10.722222
2514.815,1.8452885,10.777779
2527.7778,4.0340796,10.833334
2540.7407,4.289803,10.888889
2553.7036,2.8105502,10.944445
2566.6667,-2.2073326,11.000001
2579.6296,-14.462962,11.055556
2592.5925,-6.155093,11.111111
2605.5557,-1.0213784,11.166667
2618.5186,-0.003133803,11.222222
2631.4814,-1.6656214,11.277778
2644.4446,-2.3758204,11.333334
2657.4075,-1.4600061,11.388889
2670.3704,0.3265023,11.444445
2683.3333,-1.0405276,11.5
2696.2964,-6.4370065,11.555556
2709.2593,-9.933304,11.611112
2722.2222,-19.370325,11.666667
2735.1853,-9.214365,11.722223
2748.1482,-0.931039,11.777779
2761.111,2.5227847,11.833333
2774.0742,4.00584,11.888889
2787.037,1.4074368,11.944445
2800.0,-5.9122753,12.0
2812.963,-8.879684,12.055555
2825.926,-3.9903688,12.111112
2838.889,-4.2171392,12.166667
2851.8518,-8.851928,12.222222
2864.815,-19.512918,12.277779
2877.7778,-14.924963,12.333334
2890.7407,-15.584036,12.388889
2903.7036,-11.585333,12.444445
2916.6667,-5.25556,12.500001
2929.6296,-6.0287232,12.555556
2942.5925,-9.2809925,12.611111
2955.5557,-7.353439,12.666667
2968.5186,-4.487054,12.722222
2981.4814,-4.3537054,12.777778
2994.4446,-6.547949,12.833334
3007.4075,-3.292166,12.888889
3020.3704,-1.3128047,12.944445
3033.3333,-2.5476427,13.0
3046.2964,-10.096541,13.055556
3059.2593,-7.7001004,13.111112
3072.2222,-3.9526267,13.166667
3085.1853,-4.326848,13.222223
3098.1482,-11.557879,13.277779
3111.111,-18.534027,13.333334
3124.0742,-13.970467,13.38889
3137.037,-11.0534,13.444445
3150.0,-7.601245,13.5
3162.963,-3.9669209,13.555555
3175.926,-3.6892354,13.611112
3188.889,-5.1927,13.666667
3201.8518,-1.4676533,13.722222
3214.815,2.3825154,13.777779
3227.7778,3.8225107,13.833334
3240.7407,2.0244427,13.888889
3253.7039,-4.4023347,13.944446
3266.6667,-3.4961832,14.000001
3279.6296,-0.20598534,14.055556
3292.5925,-1.6832353,14.111111
3305.5557,-5.490799,14.166667
3318.5186,-1.9692132,14.222222
3331.4814,-0.002260657,14.277778
3344.4446,-0.28229234,14.333334
3357.4075,-1.5935512,14.388889
3370.3704,-2.0775766,14.444445
3383.3333,-1.2732832,14.5
3396.2964,-1.3957351,14.555556
3409.2593,-0.7659918,14.611112
3422.2222,1.0472084,14.666667
3435.1853,2.0193348,14.722223
3448.1482,-0.24120572,14.777779
3461.111,-6.277637,14.833334
3474.0742,-4.27442,14.88889
3487.037,0.4700675,14.944445
3500.0,0.21614374,15.0
3512.963,-3.14559,15.055555
3525.926,-2.4743981,15.111112
3538.889,-0.0010417139,15.166667
3551.8518,-1.748969,15.222222
3564.815,-4.6995654,15.277779
3577.7778,-3.2106926,15.333334
3590.7407,-1.1034985,15.388889
3603.7039,-0.51093215,15.444446
3616.6667,-0.56657493,15.500001
3629.6296,-1.2870408,15.555556
3642.5925,-1.9510608,15.611112
3655.5557,-4.4866533,15.666668
3668.5186,-7.6808715,15.722222
3681.4814,-2.0766323,15.777778
3694.4446,0.7873814,15.833334
3707.4075,0.30460325,15.888889
3720.3704,-5.074813,15.944445
3733.3335,-12.151382,16.000002
3746.2964,-7.4228387,16.055555
3759.2593,-10.342106,16.11111
3772.2222,-14.387512,16.166666
3785.1853,-7.914035,16.222223
3798.1482,-5.3829584,16.277779
3811.111,-7.2944546,16.333334
3824.0742,-7.4233294,16.38889
3837.037,-4.391647,16.444445
3850.0,-3.0529766,16.5
3862.963,-2.0624528,16.555555
3875.926,-1.4904709,16.611113
3888.889,0.19437343,16.666668
3901.8518,-0.37499768,16.722223
3914.815,-3.6262307,16.777779
3927.7778,-10.37602,16.833334
3940.7407,-4.3810005,16.88889
3953.7039,-1.584347,16.944445
3966.6667,-3.5047934,17.0
3979.6296,-5.9905663,17.055555
3992.5925,-3.5227509,17.11111
4005.5557,-1.6847934,17.166668
4018.5186,-2.8640027,17.222223
4031.4814,-3.097816,17.277779
4044.4446,-1.0197678,17.333334
4057.4075,-0.5397487,17.38889
4070.3704,-1.4196484,17.444445
4083.3335,-3.087059,17.500002
4096.2964,-3.5595188,17.555557
4109.2593,-4.3771896,17.61111
4122.222,-5.700748,17.666666
4135.185,-6.4100876,17.722221
4148.1484,-2.3280914,17.777779
4161.1113,-0.8212919,17.833334
4174.074,-2.8532352,17.88889
4187.037,-6.573198,17.944445
4200.0,-3.8865783,18.0
4212.963,-2.3534918,18.055555
4225.926,-3.6614811,18.11111
4238.889,-5.348363,18.166668
4251.852,-3.155264,18.222223
4264.815,-3.0046434,18.277779
4277.778,-3.5896423,18.333334
4290.7407,-4.0356884,18.38889
4303.7036,-3.7113953,18.444445
4316.6665,-3.0961478,18.5
4329.63,-4.0483713,18.555557
4342.593,-4.3620157,18.611113
4355.5557,-3.2466366,18.666668
4368.5186,-3.2660773,18.722223
4381.4814,-5.8941164,18.777779
4394.4443,-13.555728,18.833334
4407.407,-9.113209,18.88889
4420.3706,-6.169415,18.944447
4433.3335,-7.4219375,19.000002
4446.2964,-8.889057,19.055557
4459.2593,-5.6765437,19.11111
4472.222,-4.2246666,19.166666
4485.185,-5.343471,19.222221
4498.1484,-5.7839627,19.277779
4511.1113,-4.181813,19.333334
4524.074,-4.1274843,19.38889
4537.037,-5.176454,19.444445
4550.0,-5.682959,19.5
4562.963,-4.7662277,19.555555
4575.926,-5.226488,19.61111
4588.889,-8.371741,19.666668
4601.852,-9.950014,19.722223
4614.815,-5.992324,19.777779
4627.778,-4.274503,19.833334
4640.7407,-6.1468477,19.88889
4653.7036,-8.584007,19.944445
4666.6665,-6.51966,20.0
4679.63,-4.762123,20.055557
4692.593,-6.559775,20.111113
4705.5557,-8.821343,20.166668
4718.5186,-8.449099,20.222223
4731.4814,-6.644955,20.277779
4744.4443,-8.615591,20.333334
4757.407,-11.376482,20.38889
4770.3706,-12.927904,20.444447
4783.3335,-13.582262,20.500002
4796.2964,-16.968452,20.555557
4809.2593,-22.89756,20.61111
4822.222,-15.070705,20.666666
4835.185,-12.020949,20.722221
4848.1484,-13.419452,20.777779
4861.1113,-18.204445,20.833334
4874.074,-20.33595,20.88889
4887.037,-22.31618,20.944445
4900.0,-25.308487,21.0
4912.963,-21.248665,21.055555
4925.926,-18.712238,21.11111
4938.889,-25.522415,21.166668
4951.852,-23.65299,21.222223
4964.815,-15.106697,21.277779
4977.778,-15.231009,21.333334
4990.7407,-18.365635,21.38889
5003.7036,-20.750856,21.444445
5016.6665,-17.0212,21.5
5029.63,-18.13583,21.555557
5042.593,-19.93794,21.611113
5055.5557,-12.732402,21.666668
5068.5186,-9.832282,21.722223
5081.4814,-8.690731,21.777779
5094.4443,-12.462707,21.833334
5107.407,-13.432358,21.88889
5120.3706,-9.8414,21.944447
5133.3335,-9.462539,22.000002
5146.2964,-11.958885,22.055557
5159.2593,-14.437305,22.111113
5172.222,-9.703395,22.166666
5185.185,-9.739616,22.222221
5198.1484,-10.553041,22.277779
5211.1113,-10.456027,22.333334
5224.074,-8.326309,22.38889
5237.037,-7.881804,22.444445
5250.0,-7.741603,22.5
5262.963,-6.1359434,22.555555
5275.926,-5.278103,22.61111
5288.889,-6.138522,22.666668
5301.852,-8.894913,22.722223
5314.815,-9.680001,22.777779
5327.778,-7.7087584,22.833334
5340.7407,-7.0564404,22.88889
5353.7036,-8.34537,22.944445
5366.6665,-8.834687,23.0
5379.63,-6.2124557,23.055557
5392.593,-5.8348265,23.111113
5405.5557,-7.3262053,23.166668
5418.5186,-7.4161625,23.222223
5431.4814,-6.006912,23.277779
5444.4443,-5.807132,23.333334
5457.407,-7.6661434,23.38889
5470.3706,-7.736275,23.444447
5483.3335,-7.303868,23.500002
5496.2964,-8.598789,23.555557
5509.2593,-10.487624,23.611113
5522.222,-7.912862,23.666666
5535.185,-5.4713564,23.722221
5548.1484,-5.686264,23.777779
5561.1113,-7.2623677,23.833334
5574.074,-8.397471,23.88889
5587.037,-7.4151287,23.944445
5600.0,-7.3464403,24.0
5612.963,-9.235524,24.055555
5625.926,-9.875107,24.11111
5638.889,-7.550791,24.166668
5651.852,-7.112547,24.222223
5664.815,-8.570206,24.277779
5677.778,-9.753779,24.333334
5690.7407,-8.194655,24.38889
5703.7036,-8.257445,24.444445
5716.6665,-8.9705,24.5
5729.63,-8.406306,24.555557
5742.593,-7.6697392,24.611113
5755.5557,-8.551942,24.666668
5768.5186,-11.334084,24.722223
5781.4814,-10.49821,24.777779
5794.4443,-8.143698,24.833334
5807.407,-7.4070807,24.88889
5820.3706,-8.789391,24.944447
5833.3335,-8.815538,25.000002
5846.2964,-7.9921055,25.055557
5859.2593,-8.180638,25.111113
5872.222,-9.43782,25.166666
5885.185,-9.266395,25.222221
5898.1484,-8.386142,25.277779
5911.1113,-8.340932,25.333334
5924.074,-9.16705,25.38889
5937.037,-9.235076,25.444445
5950.0,-9.404327,25.5
5962.963,-10.12991,25.555555
5975.926,-10.5114355,25.61111
5988.889,-8.85284,25.666668
6001.852,-8.226957,25.722223
6014.815,-8.77249,25.777779
6027.778,-9.460924,25.833334
6040.7407,-9.652333,25.88889
